session_id,department,month,review_type,triangle_count,traditional_load_min,lightweight_load_sec,time_saved_min,hourly_cost_krw,cost_saved_krw
48,생산관리(의장),2026-05,공정검토,79121,26.6,1.06,26.6,52000,23053
49,생산관리(의장),2026-05,협력사공유,38095,13.1,1.0,13.1,52000,11353
50,생산관리(의장),2026-05,QA검수,16893,8.1,1.17,8.1,52000,7020
51,생산관리(의장),2026-05,간섭검사,157806,57.8,1.0,57.8,52000,50093
52,생산관리(의장),2026-05,QA검수,57752,20.3,1.0,20.3,52000,17593
53,생산관리(의장),2026-05,협력사공유,37826,13.4,1.0,13.4,52000,11613
54,생산관리(의장),2026-05,간섭검사,55730,20.1,1.0,20.1,52000,17420
55,생산관리(의장),2026-05,협력사공유,15484,5.1,1.0,5.0,52000,4333
56,생산관리(의장),2026-06,설계검토,148657,57.9,2.74,57.8,52000,50093
57,생산관리(의장),2026-06,공정검토,24336,6.7,1.0,6.6,52000,5720
58,생산관리(의장),2026-06,협력사공유,89170,27.2,1.0,27.2,52000,23573
59,생산관리(의장),2026-06,공정검토,64975,25.2,1.0,25.2,52000,21840
60,생산관리(의장),2026-06,QA검수,52574,16.6,1.0,16.6,52000,14387
61,생산관리(의장),2026-06,설계검토,167359,56.5,1.27,56.5,52000,48967
62,생산관리(의장),2026-06,QA검수,9326,5.0,1.0,5.0,52000,4333
63,생산관리(의장),2026-06,설계검토,22193,12.5,1.0,12.5,52000,10833
64,생산관리(의장),2026-06,공정검토,46046,15.2,1.0,15.2,52000,13173
65,생산관리(의장),2026-06,간섭검사,22033,5.0,1.0,5.0,52000,4333
66,생산관리(의장),2026-06,공정검토,51700,20.2,1.0,20.2,52000,17507
67,생산관리(의장),2026-06,설계검토,16576,6.4,1.0,6.4,52000,5547
68,생산관리(의장),2026-06,QA검수,3837,5.0,1.0,5.0,52000,4333
69,생산관리(의장),2026-07,공정검토,29198,11.7,1.0,11.7,52000,10140
70,생산관리(의장),2026-07,협력사공유,11214,5.0,1.0,5.0,52000,4333
71,생산관리(의장),2026-07,간섭검사,10093,5.0,1.0,5.0,52000,4333
72,생산관리(의장),2026-07,설계검토,31261,5.0,1.0,5.0,52000,4333
73,생산관리(의장),2026-07,QA검수,122155,42.7,1.0,42.7,52000,37007
74,생산관리(의장),2026-07,간섭검사,45433,17.9,1.0,17.9,52000,15513
75,생산관리(의장),2026-07,QA검수,58197,16.8,1.0,16.8,52000,14560
76,생산관리(의장),2026-07,설계검토,106282,39.0,1.0,39.0,52000,33800
77,생산관리(의장),2026-07,설계검토,75864,26.7,1.0,26.7,52000,23140
78,생산관리(의장),2026-07,협력사공유,9962,7.2,1.0,7.2,52000,6240
79,생산관리(의장),2026-07,공정검토,28865,11.2,1.26,11.2,52000,9707
80,생산관리(의장),2026-07,공정검토,4588,7.2,1.0,7.2,52000,6240
81,생산관리(의장),2026-07,QA검수,40345,10.5,1.0,10.5,52000,9100
82,생산관리(의장),2026-07,간섭검사,57599,18.2,1.0,18.1,52000,15687
83,생산관리(의장),2026-07,설계검토,15163,5.0,1.0,5.0,52000,4333
84,생산관리(의장),2026-07,공정검토,41362,15.9,1.0,15.9,52000,13780
85,생산관리(의장),2026-07,QA검수,37695,9.3,1.0,9.3,52000,8060
86,생산관리(의장),2026-07,협력사공유,25432,9.1,1.0,9.1,52000,7887
87,생산관리(의장),2026-08,QA검수,122338,39.0,1.62,39.0,52000,33800
88,생산관리(의장),2026-08,설계검토,98487,39.0,1.33,39.0,52000,33800
89,생산관리(의장),2026-08,간섭검사,37461,8.8,1.0,8.8,52000,7627
90,생산관리(의장),2026-08,QA검수,7408,5.6,1.0,5.6,52000,4853
91,생산관리(의장),2026-08,공정검토,21461,6.5,1.0,6.5,52000,5633
92,생산관리(의장),2026-08,설계검토,56371,18.7,1.0,18.7,52000,16207
93,생산관리(의장),2026-08,협력사공유,43971,17.2,1.0,17.2,52000,14907
94,생산관리(의장),2026-08,협력사공유,13428,6.1,1.0,6.1,52000,5287
95,생산관리(의장),2026-08,협력사공유,39342,7.3,1.0,7.3,52000,6327
96,생산관리(의장),2026-08,협력사공유,20402,5.0,1.0,5.0,52000,4333
97,생산관리(의장),2026-08,QA검수,94848,29.6,1.0,29.5,52000,25567
98,생산관리(의장),2026-08,공정검토,177472,58.1,1.83,58.1,52000,50353
99,생산관리(의장),2026-08,공정검토,13915,7.9,1.0,7.9,52000,6847
100,생산관리(의장),2026-08,협력사공유,86942,30.8,1.12,30.8,52000,26693
101,생산관리(의장),2026-08,공정검토,33343,10.6,1.0,10.6,52000,9187
102,생산관리(의장),2026-08,간섭검사,210433,79.1,1.52,79.1,52000,68553
103,생산관리(의장),2026-08,QA검수,17950,5.8,1.0,5.8,52000,5027
104,생산관리(의장),2026-08,협력사공유,36572,12.2,1.0,12.2,52000,10573
105,생산관리(의장),2026-08,협력사공유,56052,19.8,1.0,19.8,52000,17160
106,생산관리(의장),2026-08,QA검수,17909,5.0,1.0,5.0,52000,4333
107,품질(의장품질관리),2026-05,협력사공유,136087,47.4,1.04,47.4,58000,45820
108,품질(의장품질관리),2026-05,협력사공유,12644,5.0,1.0,5.0,58000,4833
109,품질(의장품질관리),2026-05,설계검토,89867,30.1,1.41,30.1,58000,29097
110,품질(의장품질관리),2026-05,QA검수,168064,56.9,1.56,56.9,58000,55003
111,품질(의장품질관리),2026-05,QA검수,198186,61.7,1.21,61.7,58000,59643
112,품질(의장품질관리),2026-05,협력사공유,33716,13.8,1.0,13.8,58000,13340
113,품질(의장품질관리),2026-05,설계검토,45302,11.2,1.0,11.2,58000,10827
114,품질(의장품질관리),2026-06,협력사공유,36846,11.3,1.0,11.2,58000,10827
115,품질(의장품질관리),2026-06,QA검수,94162,32.9,1.0,32.9,58000,31803
116,품질(의장품질관리),2026-06,공정검토,266373,88.9,1.45,88.9,58000,85937
117,품질(의장품질관리),2026-06,설계검토,17686,7.6,1.0,7.6,58000,7347
118,품질(의장품질관리),2026-06,설계검토,140872,49.6,1.16,49.6,58000,47947
119,품질(의장품질관리),2026-06,협력사공유,13384,7.5,1.0,7.4,58000,7153
120,품질(의장품질관리),2026-06,협력사공유,83780,28.8,1.0,28.8,58000,27840
121,품질(의장품질관리),2026-06,협력사공유,34842,12.7,1.0,12.6,58000,12180
122,품질(의장품질관리),2026-06,협력사공유,8848,9.0,1.0,9.0,58000,8700
123,품질(의장품질관리),2026-06,QA검수,6016,5.0,1.0,5.0,58000,4833
124,품질(의장품질관리),2026-06,공정검토,682953,227.2,5.03,227.1,58000,219530
125,품질(의장품질관리),2026-06,공정검토,42143,7.5,1.0,7.5,58000,7250
126,품질(의장품질관리),2026-06,QA검수,11267,5.2,1.0,5.2,58000,5027
127,품질(의장품질관리),2026-06,간섭검사,44520,14.4,1.0,14.4,58000,13920
128,품질(의장품질관리),2026-06,간섭검사,35481,10.1,1.0,10.0,58000,9667
129,품질(의장품질관리),2026-06,설계검토,77187,29.1,1.0,29.1,58000,28130
130,품질(의장품질관리),2026-07,QA검수,23702,8.6,1.0,8.6,58000,8313
131,품질(의장품질관리),2026-07,QA검수,65647,24.6,1.0,24.6,58000,23780
132,품질(의장품질관리),2026-07,협력사공유,121417,38.8,1.0,38.8,58000,37507
133,품질(의장품질관리),2026-07,공정검토,35726,15.4,1.0,15.4,58000,14887
134,품질(의장품질관리),2026-07,공정검토,140108,44.1,2.09,44.1,58000,42630
135,품질(의장품질관리),2026-07,공정검토,9176,5.0,1.0,5.0,58000,4833
136,품질(의장품질관리),2026-07,QA검수,3574,5.0,1.0,5.0,58000,4833
137,품질(의장품질관리),2026-07,공정검토,101432,32.4,1.0,32.3,58000,31223
138,품질(의장품질관리),2026-07,QA검수,80472,26.3,1.0,26.3,58000,25423
139,품질(의장품질관리),2026-07,QA검수,43521,19.2,1.0,19.2,58000,18560
140,품질(의장품질관리),2026-07,설계검토,29486,6.8,1.0,6.8,58000,6573
141,품질(의장품질관리),2026-07,QA검수,102279,29.3,1.0,29.3,58000,28323
142,품질(의장품질관리),2026-07,설계검토,100113,31.9,1.0,31.9,58000,30837
143,품질(의장품질관리),2026-07,협력사공유,20380,8.7,1.0,8.7,58000,8410
144,품질(의장품질관리),2026-07,공정검토,111283,35.8,1.0,35.8,58000,34607
145,품질(의장품질관리),2026-07,공정검토,33497,12.5,1.0,12.4,58000,11987
146,품질(의장품질관리),2026-07,협력사공유,37923,14.0,1.0,14.0,58000,13533
147,품질(의장품질관리),2026-07,협력사공유,21102,7.0,1.0,7.0,58000,6767
148,품질(의장품질관리),2026-07,간섭검사,138224,52.9,1.01,52.9,58000,51137
149,품질(의장품질관리),2026-08,공정검토,30361,12.4,1.0,12.4,58000,11987
150,품질(의장품질관리),2026-08,협력사공유,270489,94.6,1.9,94.6,58000,91447
151,품질(의장품질관리),2026-08,공정검토,26137,9.4,1.0,9.3,58000,8990
152,품질(의장품질관리),2026-08,QA검수,45366,11.7,1.03,11.7,58000,11310
153,품질(의장품질관리),2026-08,공정검토,20877,9.0,1.0,9.0,58000,8700
154,품질(의장품질관리),2026-08,간섭검사,16400,10.9,1.0,10.9,58000,10537
155,품질(의장품질관리),2026-08,간섭검사,195563,65.2,1.16,65.1,58000,62930
156,품질(의장품질관리),2026-08,QA검수,99572,33.8,1.0,33.7,58000,32577
157,품질(의장품질관리),2026-08,공정검토,213331,76.3,2.16,76.2,58000,73660
158,품질(의장품질관리),2026-08,공정검토,24404,5.0,1.0,5.0,58000,4833
159,품질(의장품질관리),2026-08,설계검토,30694,7.8,1.0,7.8,58000,7540
160,품질(의장품질관리),2026-08,설계검토,81384,23.5,1.0,23.5,58000,22717
161,품질(의장품질관리),2026-08,공정검토,24926,8.2,1.12,8.2,58000,7927
162,품질(의장품질관리),2026-08,QA검수,23621,12.1,1.0,12.1,58000,11697
163,품질(의장품질관리),2026-08,공정검토,62693,23.8,1.63,23.8,58000,23007
164,품질(의장품질관리),2026-08,간섭검사,16983,7.0,1.0,7.0,58000,6767
165,품질(의장품질관리),2026-08,QA검수,10312,5.0,1.0,5.0,58000,4833
166,품질(의장품질관리),2026-08,QA검수,4766,5.0,1.0,5.0,58000,4833
167,품질(의장품질관리),2026-08,설계검토,20473,6.1,1.0,6.1,58000,5897
168,품질(의장품질관리),2026-08,설계검토,88256,31.5,1.0,31.5,58000,30450
169,품질(의장품질관리),2026-08,공정검토,167581,55.1,1.42,55.1,58000,53263
170,품질(의장품질관리),2026-08,QA검수,24160,5.0,1.0,5.0,58000,4833
171,품질(의장품질관리),2026-08,간섭검사,37277,11.8,1.0,11.8,58000,11407
172,품질(의장품질관리),2026-08,QA검수,44066,14.3,1.0,14.2,58000,13727
173,품질(의장품질관리),2026-08,QA검수,16625,5.1,1.0,5.1,58000,4930
174,품질(의장품질관리),2026-08,협력사공유,46172,12.4,1.0,12.4,58000,11987
175,기본설계,2026-04,협력사공유,51673,20.0,1.0,20.0,62000,20667
176,기본설계,2026-04,협력사공유,11666,5.0,1.0,5.0,62000,5167
177,기본설계,2026-05,설계검토,27017,9.5,1.0,9.4,62000,9713
178,기본설계,2026-05,협력사공유,9993,5.1,1.0,5.0,62000,5167
179,기본설계,2026-05,설계검토,28981,14.9,1.0,14.9,62000,15397
180,기본설계,2026-05,공정검토,6676,5.0,1.0,5.0,62000,5167
181,기본설계,2026-05,간섭검사,57359,22.3,1.0,22.3,62000,23043
182,기본설계,2026-05,QA검수,79436,28.3,1.0,28.3,62000,29243
183,기본설계,2026-05,협력사공유,30147,10.5,1.0,10.4,62000,10747
184,기본설계,2026-05,간섭검사,24828,6.3,1.0,6.2,62000,6407
185,기본설계,2026-05,설계검토,14138,5.0,1.0,5.0,62000,5167
186,기본설계,2026-05,설계검토,6152,5.0,1.0,5.0,62000,5167
187,기본설계,2026-05,협력사공유,3333,5.0,1.0,5.0,62000,5167
188,기본설계,2026-06,공정검토,33377,14.8,1.0,14.8,62000,15293
189,기본설계,2026-06,공정검토,27418,8.0,1.0,7.9,62000,8163
190,기본설계,2026-06,QA검수,25907,9.4,1.0,9.4,62000,9713
191,기본설계,2026-06,간섭검사,31992,8.1,1.0,8.1,62000,8370
192,기본설계,2026-06,설계검토,135790,47.2,1.0,47.2,62000,48773
193,기본설계,2026-06,QA검수,28632,15.4,1.0,15.3,62000,15810
194,기본설계,2026-06,공정검토,101695,38.9,1.0,38.9,62000,40197
195,기본설계,2026-06,QA검수,12095,5.0,1.0,5.0,62000,5167
196,기본설계,2026-06,설계검토,46733,13.8,1.0,13.8,62000,14260
197,기본설계,2026-06,QA검수,64987,15.7,1.0,15.7,62000,16223
198,기본설계,2026-06,QA검수,19591,6.7,1.0,6.7,62000,6923
199,기본설계,2026-06,공정검토,246782,82.8,2.14,82.8,62000,85560
200,기본설계,2026-06,협력사공유,12310,5.0,1.0,5.0,62000,5167
201,기본설계,2026-07,간섭검사,52396,17.2,1.0,17.2,62000,17773
202,기본설계,2026-07,간섭검사,39906,12.9,1.0,12.9,62000,13330
203,기본설계,2026-07,간섭검사,20694,9.6,1.0,9.6,62000,9920
204,기본설계,2026-07,QA검수,10412,5.0,1.0,5.0,62000,5167
205,기본설계,2026-07,공정검토,1207011,400.3,8.1,400.2,62000,413540
206,기본설계,2026-07,공정검토,24448,8.3,1.0,8.3,62000,8577
207,기본설계,2026-07,협력사공유,16376,6.5,1.0,6.5,62000,6717
208,기본설계,2026-07,간섭검사,23488,10.3,1.0,10.3,62000,10643
209,기본설계,2026-07,협력사공유,31523,13.7,1.28,13.7,62000,14157
210,기본설계,2026-07,협력사공유,103692,34.6,1.0,34.6,62000,35753
211,기본설계,2026-07,간섭검사,17077,5.0,1.0,5.0,62000,5167
212,기본설계,2026-07,간섭검사,34988,11.0,1.0,11.0,62000,11367
213,기본설계,2026-07,간섭검사,56937,20.5,1.0,20.5,62000,21183
214,기본설계,2026-07,설계검토,62977,29.7,1.0,29.7,62000,30690
215,기본설계,2026-07,공정검토,105362,37.5,1.0,37.5,62000,38750
216,기본설계,2026-08,협력사공유,18465,5.0,1.0,5.0,62000,5167
217,기본설계,2026-08,간섭검사,302721,99.6,2.32,99.6,62000,102920
218,기본설계,2026-08,간섭검사,9160,8.7,1.0,8.7,62000,8990
219,기본설계,2026-08,공정검토,46923,14.9,1.0,14.9,62000,15397
220,기본설계,2026-08,공정검토,7932,5.0,1.0,5.0,62000,5167
221,기본설계,2026-08,협력사공유,53209,20.9,1.0,20.9,62000,21597
222,기본설계,2026-08,공정검토,388689,131.2,2.93,131.2,62000,135573
223,기본설계,2026-08,협력사공유,17986,9.3,1.0,9.2,62000,9507
224,기본설계,2026-08,간섭검사,166153,51.3,1.0,51.3,62000,53010
225,기본설계,2026-08,협력사공유,39847,15.4,1.0,15.4,62000,15913
226,기본설계,2026-08,간섭검사,39249,19.6,1.0,19.6,62000,20253
227,기본설계,2026-08,설계검토,35127,12.8,1.0,12.8,62000,13227
228,기본설계,2026-08,QA검수,37041,10.6,1.0,10.5,62000,10850
229,기본설계,2026-08,QA검수,29565,9.5,1.0,9.5,62000,9817
230,기본설계,2026-08,QA검수,54515,22.3,1.0,22.3,62000,23043
231,기본설계,2026-08,공정검토,37918,15.0,1.0,15.0,62000,15500
232,기본설계,2026-08,간섭검사,160685,47.7,1.0,47.6,62000,49187
233,기본설계,2026-08,공정검토,33544,12.8,1.0,12.8,62000,13227
234,자동화솔루션,2026-03,QA검수,32454,9.9,1.0,9.9,60000,9900
235,자동화솔루션,2026-03,협력사공유,53456,17.4,1.0,17.4,60000,17400
236,자동화솔루션,2026-03,QA검수,10279,5.0,1.0,5.0,60000,5000
237,자동화솔루션,2026-03,설계검토,113019,41.9,1.0,41.9,60000,41900
238,자동화솔루션,2026-03,설계검토,125168,42.5,1.0,42.4,60000,42400
239,자동화솔루션,2026-03,협력사공유,21859,6.6,1.0,6.6,60000,6600
240,자동화솔루션,2026-04,설계검토,29430,9.9,1.0,9.9,60000,9900
241,자동화솔루션,2026-04,설계검토,22739,6.3,1.0,6.3,60000,6300
242,자동화솔루션,2026-04,간섭검사,121621,40.6,1.0,40.6,60000,40600
243,자동화솔루션,2026-04,협력사공유,67786,20.5,1.0,20.5,60000,20500
244,자동화솔루션,2026-04,설계검토,33080,16.3,1.0,16.2,60000,16200
245,자동화솔루션,2026-04,설계검토,19547,8.6,1.0,8.6,60000,8600
246,자동화솔루션,2026-04,설계검토,169432,56.2,1.46,56.2,60000,56200
247,자동화솔루션,2026-04,설계검토,6605,5.0,1.0,5.0,60000,5000
248,자동화솔루션,2026-04,간섭검사,26864,9.6,1.0,9.6,60000,9600
249,자동화솔루션,2026-04,간섭검사,22439,11.7,1.0,11.6,60000,11600
250,자동화솔루션,2026-05,QA검수,28820,7.6,1.0,7.6,60000,7600
251,자동화솔루션,2026-05,QA검수,46850,17.1,1.0,17.1,60000,17100
252,자동화솔루션,2026-05,QA검수,47377,9.7,1.0,9.7,60000,9700
253,자동화솔루션,2026-05,설계검토,44974,10.6,1.0,10.6,60000,10600
254,자동화솔루션,2026-05,QA검수,51828,17.9,1.0,17.9,60000,17900
255,자동화솔루션,2026-05,협력사공유,11021,5.0,1.48,5.0,60000,5000
256,자동화솔루션,2026-05,설계검토,24718,10.2,1.0,10.2,60000,10200
257,자동화솔루션,2026-05,협력사공유,214714,73.0,1.0,73.0,60000,73000
258,자동화솔루션,2026-05,협력사공유,24499,5.9,1.0,5.9,60000,5900
259,자동화솔루션,2026-05,QA검수,81092,29.5,1.0,29.5,60000,29500
260,자동화솔루션,2026-05,공정검토,331358,113.5,1.48,113.5,60000,113500
261,자동화솔루션,2026-05,공정검토,18597,11.4,1.0,11.4,60000,11400
262,자동화솔루션,2026-05,협력사공유,47365,14.1,1.0,14.1,60000,14100
263,자동화솔루션,2026-05,협력사공유,50666,20.5,1.0,20.5,60000,20500
264,자동화솔루션,2026-05,설계검토,4044,5.0,1.0,5.0,60000,5000
265,자동화솔루션,2026-05,QA검수,36008,10.3,1.0,10.3,60000,10300
266,자동화솔루션,2026-06,간섭검사,13894,7.0,1.0,7.0,60000,7000
267,자동화솔루션,2026-06,QA검수,76599,24.5,1.0,24.5,60000,24500
268,자동화솔루션,2026-06,QA검수,25275,6.0,1.0,6.0,60000,6000
269,자동화솔루션,2026-06,QA검수,5832,5.0,1.0,5.0,60000,5000
270,자동화솔루션,2026-06,공정검토,27498,10.4,1.0,10.4,60000,10400
271,자동화솔루션,2026-06,설계검토,54098,18.5,1.0,18.5,60000,18500
272,자동화솔루션,2026-06,간섭검사,59037,19.0,1.0,19.0,60000,19000
273,자동화솔루션,2026-06,협력사공유,142204,42.2,1.68,42.1,60000,42100
274,자동화솔루션,2026-06,공정검토,332151,113.3,2.11,113.3,60000,113300
275,자동화솔루션,2026-06,간섭검사,36814,15.4,1.0,15.4,60000,15400
276,자동화솔루션,2026-06,공정검토,53095,14.7,1.09,14.6,60000,14600
277,자동화솔루션,2026-06,설계검토,70518,24.9,1.01,24.9,60000,24900
278,자동화솔루션,2026-06,설계검토,33025,12.2,1.0,12.2,60000,12200
279,자동화솔루션,2026-06,간섭검사,29904,11.8,1.0,11.8,60000,11800
280,자동화솔루션,2026-06,간섭검사,43585,13.9,1.0,13.9,60000,13900
281,자동화솔루션,2026-06,협력사공유,133280,42.0,1.34,42.0,60000,42000
282,자동화솔루션,2026-06,설계검토,37365,13.8,1.0,13.8,60000,13800
283,자동화솔루션,2026-06,공정검토,25124,5.5,1.0,5.5,60000,5500
284,자동화솔루션,2026-07,간섭검사,58734,21.9,1.0,21.9,60000,21900
285,자동화솔루션,2026-07,공정검토,11794,5.8,1.0,5.8,60000,5800
286,자동화솔루션,2026-07,간섭검사,61930,18.8,1.0,18.8,60000,18800
287,자동화솔루션,2026-07,QA검수,23292,6.4,1.0,6.4,60000,6400
288,자동화솔루션,2026-07,공정검토,78213,35.1,1.0,35.1,60000,35100
289,자동화솔루션,2026-07,협력사공유,33215,10.7,1.0,10.7,60000,10700
290,자동화솔루션,2026-07,간섭검사,41725,12.0,1.0,12.0,60000,12000
291,자동화솔루션,2026-07,QA검수,20744,7.1,1.01,7.0,60000,7000
292,자동화솔루션,2026-07,설계검토,123681,50.6,1.0,50.6,60000,50600
293,자동화솔루션,2026-07,협력사공유,140868,46.3,1.24,46.3,60000,46300
294,자동화솔루션,2026-07,QA검수,30579,17.0,1.0,16.9,60000,16900
295,자동화솔루션,2026-07,QA검수,20824,8.0,1.0,8.0,60000,8000
296,자동화솔루션,2026-07,QA검수,309596,104.4,3.14,104.4,60000,104400
297,자동화솔루션,2026-07,설계검토,49446,17.4,1.0,17.4,60000,17400
298,자동화솔루션,2026-07,QA검수,51051,19.2,1.0,19.2,60000,19200
299,자동화솔루션,2026-07,간섭검사,18530,6.5,1.0,6.5,60000,6500
300,자동화솔루션,2026-07,공정검토,24074,5.0,1.0,5.0,60000,5000
301,자동화솔루션,2026-07,간섭검사,27530,8.5,1.0,8.4,60000,8400
302,자동화솔루션,2026-07,협력사공유,21801,5.0,1.0,5.0,60000,5000
303,자동화솔루션,2026-07,간섭검사,34622,14.1,1.0,14.1,60000,14100
304,자동화솔루션,2026-07,간섭검사,31958,16.7,1.0,16.7,60000,16700
305,자동화솔루션,2026-07,협력사공유,11397,5.0,1.0,5.0,60000,5000
306,자동화솔루션,2026-08,설계검토,29094,14.6,1.0,14.6,60000,14600
307,자동화솔루션,2026-08,설계검토,286505,96.6,2.89,96.6,60000,96600
308,자동화솔루션,2026-08,설계검토,90276,28.5,1.0,28.5,60000,28500
309,자동화솔루션,2026-08,QA검수,32219,9.8,1.03,9.7,60000,9700
310,자동화솔루션,2026-08,설계검토,25959,5.0,1.0,5.0,60000,5000
311,자동화솔루션,2026-08,설계검토,29347,9.1,1.0,9.1,60000,9100
312,자동화솔루션,2026-08,QA검수,48225,20.7,1.0,20.7,60000,20700
313,자동화솔루션,2026-08,QA검수,4386,5.0,1.0,5.0,60000,5000
314,자동화솔루션,2026-08,공정검토,72766,25.3,1.0,25.3,60000,25300
315,자동화솔루션,2026-08,공정검토,69651,25.0,1.01,25.0,60000,25000
316,자동화솔루션,2026-08,QA검수,22570,9.7,1.0,9.7,60000,9700
317,자동화솔루션,2026-08,설계검토,7921,5.2,1.0,5.2,60000,5200
318,자동화솔루션,2026-08,협력사공유,68913,16.4,1.0,16.4,60000,16400
319,자동화솔루션,2026-08,간섭검사,19539,10.1,1.0,10.1,60000,10100
320,자동화솔루션,2026-08,공정검토,38363,12.2,1.0,12.2,60000,12200
321,자동화솔루션,2026-08,협력사공유,37623,10.9,1.0,10.9,60000,10900
322,자동화솔루션,2026-08,QA검수,36132,10.8,1.0,10.7,60000,10700
323,자동화솔루션,2026-08,공정검토,84077,29.1,1.0,29.1,60000,29100
324,자동화솔루션,2026-08,협력사공유,35123,16.3,1.0,16.3,60000,16300
325,자동화솔루션,2026-08,설계검토,42035,11.2,1.0,11.2,60000,11200
326,자동화솔루션,2026-08,QA검수,30331,12.0,1.0,11.9,60000,11900
327,자동화솔루션,2026-08,공정검토,168865,53.3,1.28,53.3,60000,53300
